epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1110.61,0.64538,0.38271,0.94688,0.96526,0.9746,0.98525,0.862,0.56061,0.32832,0.86992,0.00898525,0.00898525,0.00898525
43,1136.8,0.63261,0.37649,0.94002,0.97597,0.98389,0.98632,0.87352,0.50324,0.30215,0.85271,0.0089605,0.0089605,0.0089605
44,1163.52,0.63414,0.37747,0.93802,0.97156,0.98103,0.98518,0.86549,0.53538,0.31309,0.85958,0.00893575,0.00893575,0.00893575
45,1189.86,0.63463,0.37806,0.9413,0.97623,0.98368,0.98698,0.88046,0.49875,0.29304,0.84844,0.008911,0.008911,0.008911
46,1216.22,0.63625,0.37532,0.94057,0.97396,0.98088,0.98786,0.85665,0.55715,0.31388,0.86209,0.00888625,0.00888625,0.00888625
47,1242.44,0.6283,0.37101,0.94213,0.97686,0.97719,0.98777,0.86955,0.53427,0.31005,0.85629,0.0088615,0.0088615,0.0088615
48,1268.71,0.61736,0.36979,0.93435,0.975,0.98229,0.98649,0.88209,0.48403,0.29675,0.84596,0.00883675,0.00883675,0.00883675
49,1295.13,0.62702,0.37049,0.93996,0.97313,0.98387,0.98861,0.87937,0.52099,0.3021,0.85373,0.008812,0.008812,0.008812
50,1321.49,0.62358,0.36884,0.93635,0.97665,0.98277,0.98805,0.87552,0.51624,0.30331,0.85706,0.00878725,0.00878725,0.00878725
51,1347.85,0.62683,0.36883,0.93932,0.97704,0.97909,0.98892,0.89414,0.48668,0.29838,0.84453,0.0087625,0.0087625,0.0087625
52,1374.15,0.6151,0.36299,0.93602,0.9766,0.98244,0.98776,0.87212,0.52423,0.29873,0.85428,0.00873775,0.00873775,0.00873775
53,1400.49,0.61403,0.3636,0.93354,0.97494,0.98298,0.9876,0.88554,0.50559,0.29089,0.84642,0.008713,0.008713,0.008713
54,1426.77,0.60862,0.36259,0.93121,0.9702,0.97546,0.98514,0.87114,0.49962,0.29898,0.84771,0.00868825,0.00868825,0.00868825
55,1453.06,0.60845,0.35727,0.92885,0.97403,0.98389,0.98838,0.87932,0.49442,0.28929,0.84539,0.0086635,0.0086635,0.0086635
56,1479.31,0.61125,0.36423,0.9316,0.97916,0.98304,0.98667,0.88528,0.4862,0.28071,0.84153,0.00863875,0.00863875,0.00863875
57,1505.56,0.60636,0.35681,0.9334,0.97557,0.98417,0.98899,0.88724,0.50125,0.29792,0.85051,0.008614,0.008614,0.008614
58,1531.99,0.60265,0.35524,0.92718,0.97548,0.98142,0.98721,0.88364,0.4831,0.28039,0.84215,0.00858925,0.00858925,0.00858925
59,1558.27,0.60035,0.35732,0.92709,0.97358,0.9824,0.98907,0.8886,0.49461,0.28468,0.84493,0.0085645,0.0085645,0.0085645
60,1584.58,0.59728,0.35233,0.92892,0.97847,0.98479,0.98888,0.88904,0.4835,0.27899,0.83766,0.00853975,0.00853975,0.00853975
61,1610.86,0.59993,0.35252,0.92625,0.97813,0.98286,0.98787,0.86906,0.51947,0.29385,0.85167,0.008515,0.008515,0.008515
62,1637.13,0.60076,0.35423,0.92533,0.97292,0.98443,0.98944,0.89458,0.46157,0.27154,0.83614,0.00849025,0.00849025,0.00849025
63,1663.4,0.59832,0.34999,0.92526,0.97844,0.9833,0.98698,0.88366,0.51883,0.2934,0.84731,0.0084655,0.0084655,0.0084655
64,1689.68,0.58656,0.34596,0.92416,0.97685,0.9825,0.98542,0.88551,0.51078,0.28322,0.85233,0.00844075,0.00844075,0.00844075
65,1715.99,0.59048,0.34727,0.92428,0.97851,0.98036,0.9876,0.88226,0.4854,0.27873,0.84858,0.008416,0.008416,0.008416
66,1742.27,0.59072,0.34496,0.92434,0.97322,0.98367,0.98632,0.8703,0.52431,0.28764,0.8539,0.00839125,0.00839125,0.00839125
67,1768.55,0.58802,0.34516,0.92234,0.97391,0.98521,0.98878,0.88273,0.52245,0.28827,0.84816,0.0083665,0.0083665,0.0083665
68,1794.89,0.58211,0.34213,0.92096,0.97845,0.98373,0.98763,0.89909,0.45896,0.27196,0.83719,0.00834175,0.00834175,0.00834175
69,1821.2,0.58406,0.34345,0.92006,0.97469,0.98506,0.98847,0.89444,0.46394,0.27394,0.83626,0.008317,0.008317,0.008317
70,1847.4,0.58125,0.34148,0.92006,0.97708,0.98285,0.9888,0.88861,0.49452,0.27623,0.84466,0.00829225,0.00829225,0.00829225
71,1873.69,0.58627,0.34261,0.92209,0.97182,0.9809,0.98733,0.8856,0.50072,0.28422,0.8446,0.0082675,0.0082675,0.0082675
72,1899.97,0.58041,0.34249,0.92025,0.97879,0.98084,0.98877,0.88145,0.52082,0.28657,0.85197,0.00824275,0.00824275,0.00824275
73,1926.29,0.5872,0.34394,0.92597,0.97645,0.97731,0.98644,0.86952,0.54438,0.30857,0.86004,0.008218,0.008218,0.008218
74,1952.52,0.57642,0.33858,0.92114,0.97265,0.98676,0.98915,0.89682,0.46155,0.26461,0.8323,0.00819325,0.00819325,0.00819325
75,1978.69,0.5783,0.33986,0.91994,0.97387,0.98531,0.98908,0.89973,0.45981,0.26745,0.83459,0.0081685,0.0081685,0.0081685
76,2004.84,0.57847,0.33686,0.92337,0.97728,0.98378,0.98815,0.88818,0.48714,0.27501,0.84286,0.00814375,0.00814375,0.00814375
77,2031.05,0.57189,0.33529,0.92021,0.97636,0.9823,0.9883,0.89926,0.45915,0.27271,0.83418,0.008119,0.008119,0.008119
78,2057.37,0.5739,0.33732,0.92069,0.97706,0.98288,0.98768,0.88008,0.51868,0.27725,0.84422,0.00809425,0.00809425,0.00809425
79,2083.66,0.5741,0.33365,0.91432,0.97373,0.98414,0.98837,0.89769,0.45582,0.26269,0.83587,0.0080695,0.0080695,0.0080695
80,2109.87,0.57251,0.33423,0.91921,0.97491,0.98605,0.98849,0.89444,0.47726,0.27001,0.83983,0.00804475,0.00804475,0.00804475
81,2136.1,0.56887,0.33286,0.9192,0.96949,0.9854,0.98774,0.89219,0.46827,0.26481,0.83719,0.00802,0.00802,0.00802
82,2162.52,0.57412,0.33491,0.91634,0.97764,0.98365,0.98851,0.90075,0.44869,0.25864,0.83279,0.00799525,0.00799525,0.00799525
83,2188.75,0.57127,0.33211,0.91975,0.97745,0.98327,0.98863,0.88401,0.51366,0.27352,0.84661,0.0079705,0.0079705,0.0079705
84,2215.05,0.56565,0.33203,0.91632,0.96997,0.98511,0.98837,0.89776,0.46405,0.26305,0.83435,0.00794575,0.00794575,0.00794575
85,2241.3,0.56305,0.32987,0.91516,0.97543,0.98507,0.98912,0.89469,0.45712,0.25751,0.83551,0.007921,0.007921,0.007921
86,2267.63,0.56549,0.3294,0.92041,0.97059,0.98593,0.99011,0.89767,0.47859,0.263,0.8401,0.00789625,0.00789625,0.00789625
87,2293.91,0.56538,0.33116,0.91745,0.97516,0.98328,0.98816,0.89472,0.45917,0.26672,0.83212,0.0078715,0.0078715,0.0078715
88,2320.2,0.56577,0.33052,0.91611,0.97536,0.98361,0.98923,0.89862,0.4547,0.25845,0.83177,0.00784675,0.00784675,0.00784675
89,2346.52,0.56541,0.33131,0.91456,0.9729,0.98494,0.98846,0.89046,0.47686,0.2648,0.8395,0.007822,0.007822,0.007822
90,2372.8,0.56719,0.33002,0.91619,0.97398,0.9848,0.98963,0.9014,0.46013,0.2533,0.83312,0.00779725,0.00779725,0.00779725
91,2399.19,0.56161,0.3256,0.91527,0.96758,0.98498,0.98787,0.88848,0.49434,0.26674,0.84268,0.0077725,0.0077725,0.0077725
92,2425.64,0.56099,0.32526,0.91383,0.97119,0.98337,0.98834,0.90429,0.45024,0.25749,0.83256,0.00774775,0.00774775,0.00774775
93,2451.93,0.55715,0.32472,0.9153,0.96454,0.9867,0.98843,0.89709,0.45762,0.26115,0.83183,0.007723,0.007723,0.007723
94,2478.27,0.55844,0.32505,0.91284,0.97356,0.98455,0.98908,0.89932,0.45068,0.25584,0.82974,0.00769825,0.00769825,0.00769825
95,2504.52,0.55386,0.32203,0.91126,0.97464,0.98493,0.98854,0.90769,0.44789,0.25414,0.82983,0.0076735,0.0076735,0.0076735
96,2530.9,0.55596,0.32351,0.91239,0.97163,0.98468,0.98962,0.90974,0.44238,0.25902,0.82896,0.00764875,0.00764875,0.00764875
97,2557.22,0.55612,0.32232,0.91065,0.97226,0.98546,0.98912,0.90575,0.45724,0.26214,0.83374,0.007624,0.007624,0.007624
98,2583.47,0.55385,0.32484,0.91442,0.97544,0.98535,0.98955,0.90663,0.4569,0.25902,0.83158,0.00759925,0.00759925,0.00759925
99,2609.75,0.55714,0.32285,0.91414,0.97455,0.98484,0.98843,0.9041,0.44899,0.25786,0.83084,0.0075745,0.0075745,0.0075745
100,2636.05,0.55627,0.32457,0.9104,0.97637,0.98683,0.99021,0.9047,0.44135,0.2523,0.82977,0.00754975,0.00754975,0.00754975
101,2662.33,0.55124,0.31861,0.91207,0.97282,0.98341,0.98836,0.89596,0.46243,0.26021,0.83406,0.007525,0.007525,0.007525
102,2688.64,0.55363,0.32159,0.91011,0.97595,0.98473,0.98982,0.9044,0.44046,0.25602,0.82979,0.00750025,0.00750025,0.00750025
103,2714.87,0.5549,0.32218,0.91406,0.97249,0.98417,0.98882,0.90281,0.45027,0.25889,0.83031,0.0074755,0.0074755,0.0074755
104,2741.03,0.55309,0.31837,0.91186,0.97424,0.98337,0.98909,0.8997,0.46894,0.25829,0.83856,0.00745075,0.00745075,0.00745075
105,2767.4,0.55349,0.32036,0.91169,0.96979,0.9855,0.98811,0.89131,0.48245,0.26593,0.83636,0.007426,0.007426,0.007426
106,2793.61,0.54839,0.31928,0.9104,0.97193,0.98543,0.98851,0.90413,0.44452,0.25547,0.83084,0.00740125,0.00740125,0.00740125
107,2819.96,0.54672,0.31763,0.90974,0.97302,0.98439,0.98868,0.90995,0.43684,0.25137,0.82879,0.0073765,0.0073765,0.0073765
108,2846.2,0.54577,0.3149,0.90854,0.97463,0.98349,0.98904,0.90771,0.43894,0.24896,0.82724,0.00735175,0.00735175,0.00735175
109,2872.46,0.54601,0.31606,0.91,0.9753,0.98525,0.9886,0.90257,0.4547,0.25906,0.83192,0.007327,0.007327,0.007327
110,2898.79,0.5457,0.3178,0.91008,0.97437,0.98272,0.98897,0.89753,0.47392,0.26246,0.83456,0.00730225,0.00730225,0.00730225
111,2925.07,0.54467,0.31555,0.90907,0.97867,0.98343,0.98902,0.90704,0.44343,0.25585,0.82907,0.0072775,0.0072775,0.0072775
112,2951.35,0.54009,0.31489,0.90571,0.97454,0.98481,0.98914,0.90894,0.43458,0.24861,0.82761,0.00725275,0.00725275,0.00725275
113,2977.74,0.54487,0.31428,0.90813,0.97677,0.98368,0.98851,0.90649,0.44348,0.24679,0.83035,0.007228,0.007228,0.007228
114,3003.89,0.54244,0.31262,0.90838,0.97714,0.98112,0.98929,0.90936,0.44089,0.25492,0.83049,0.00720325,0.00720325,0.00720325
115,3030.14,0.54227,0.31475,0.90892,0.97259,0.98644,0.98929,0.90244,0.45503,0.25224,0.83366,0.0071785,0.0071785,0.0071785
116,3056.3,0.53817,0.3111,0.90612,0.97415,0.9851,0.98877,0.90686,0.43298,0.24846,0.8284,0.00715375,0.00715375,0.00715375
117,3082.48,0.53959,0.31133,0.90781,0.97458,0.98479,0.98973,0.91176,0.43535,0.24698,0.82774,0.007129,0.007129,0.007129
118,3108.61,0.53558,0.3113,0.90581,0.97266,0.9861,0.99009,0.91329,0.42942,0.24522,0.82724,0.00710425,0.00710425,0.00710425
119,3134.89,0.53333,0.3108,0.9057,0.97454,0.9842,0.98859,0.91111,0.44051,0.24645,0.82757,0.0070795,0.0070795,0.0070795
120,3161.16,0.53334,0.30814,0.90482,0.97612,0.98374,0.98809,0.9091,0.4269,0.24184,0.82634,0.00705475,0.00705475,0.00705475
121,3187.3,0.53627,0.30842,0.90467,0.97352,0.98562,0.98937,0.90627,0.44016,0.24766,0.82736,0.00703,0.00703,0.00703
122,3213.61,0.53457,0.30943,0.90804,0.96879,0.98513,0.98783,0.90926,0.42316,0.23964,0.82438,0.00700525,0.00700525,0.00700525
123,3239.87,0.53724,0.31068,0.90763,0.97775,0.98655,0.9897,0.91026,0.42641,0.23742,0.82433,0.0069805,0.0069805,0.0069805
124,3266.17,0.53346,0.30939,0.90464,0.9757,0.98593,0.98891,0.90574,0.43838,0.2417,0.82769,0.00695575,0.00695575,0.00695575
125,3292.37,0.5343,0.30871,0.90452,0.97281,0.98548,0.98918,0.91007,0.44115,0.24595,0.82745,0.006931,0.006931,0.006931
126,3318.67,0.52602,0.30666,0.90193,0.97485,0.98393,0.98926,0.90636,0.44538,0.2457,0.8286,0.00690625,0.00690625,0.00690625
127,3344.82,0.53271,0.30814,0.90581,0.97499,0.98475,0.98895,0.91053,0.43309,0.24036,0.82659,0.0068815,0.0068815,0.0068815
128,3371.06,0.53108,0.30646,0.90208,0.97304,0.98594,0.989,0.9159,0.42633,0.24256,0.82434,0.00685675,0.00685675,0.00685675
129,3397.33,0.52816,0.30636,0.90383,0.9714,0.98469,0.98875,0.90376,0.46143,0.24923,0.8313,0.006832,0.006832,0.006832
130,3423.55,0.53217,0.3068,0.90627,0.97576,0.98418,0.98909,0.91279,0.43223,0.2411,0.82859,0.00680725,0.00680725,0.00680725
